PID,Value,Year Built,Size
100205000,532692,1900,5862
100206000,676774,1924,4702
100207000,697327,1900,4606
100208000,680779,1900,4620
100209000,535221,1900,3670
100210000,688895,1900,4841
100211000,599199,2004,3112
100212000,439097,1900,2460
100213000,0,1999,0
100213000,0,1999,0
100213002,319678,1991,1224
100213004,250326,1991,1286
100213006,222604,1991,1224
100213008,250326,1991,1286
100218000,685838,1900,5076
100219000,696483,1900,4980
100220000,615115,1954,3961
100221000,286372,1900,2308
100222000,339283,1900,1863
100223000,342866,1900,2023
100224000,309560,1900,1768
100225000,309349,1900,1773
100226000,502442,1900,1773
100227000,447529,1900,1752
100228000,281629,1900,1863
100229000,361944,1900,1742
100230000,320100,1911,1866
100231000,386502,1911,1980
100232000,572849,1899,4122
100233000,323473,1940,2002
100234000,368478,1900,1863
100235000,288163,1900,1863
100236000,305344,1900,1782
100237000,364263,1900,1942
100238000,368900,1900,1754
100239000,359203,1900,2042
100240000,407055,1900,1668
100241000,421495,1900,4539
100242000,545129,1900,4623
100243000,650213,1900,4457
100244000,755718,1900,4224
100245000,634614,1900,3812
100246000,537013,1900,2928
100247000,520044,1890,4368
100248000,610055,1890,4491
100249000,501072,1900,2922
100250000,0,1900,0
100250002,326635,1900,633
100250004,330429,1900,648
100250006,321470,1900,612
100251000,342128,1900,1350
100252000,372168,1900,2418
100253000,566104,1900,4423
100254000,558831,1910,4244
100255000,491480,1890,3068
100256000,613533,1890,3696
100257000,0,1890,0
100257002,337175,2017,702
100257004,343920,2017,732
100257006,366476,2017,828
100258000,657801,1890,3880
100259000,624843,1890,3401
100260000,558725,1890,3600
100261000,499491,1890,3804
100262000,728419,1890,3708
100263000,520149,1890,2740
100268000,674982,1890,2748
100269000,507817,1890,2748
100270000,780900,1899,3804
100271000,629976,1900,3884
100272000,662545,1900,3632
100274000,764466,1900,1998
100274000,764466,1900,2400
100275000,562414,1930,3872
100276000,555774,1890,3520
100277000,551664,1890,3564
100278000,512666,1890,3388
100279000,513825,1899,2992
100280000,632295,1899,3423
100281000,339388,1900,3388
100282000,1037375,1940,4204
100283000,680000,1920,2800
100284000,621017,1900,3528
100285000,340442,1925,1996
100286000,518990,1925,3188
100287000,290127,1925,1888
100288000,494853,1925,3325
100290000,1098750,1982,2500
100291000,1098750,1982,2500
100292000,1062500,1930,5448
100293000,526640,1930,3200
100294000,294765,1915,1024
100294000,294765,1915,2604
100295000,679198,1900,4676
100296000,872185,1907,6962
100297000,577381,1900,5740
100298000,497707,1920,2629
100299000,600886,1900,4280
100300000,636405,1915,4316
100301000,750764,1900,4827
100302000,682887,1900,5094
100303000,1105102,1910,4600
100303001,1529004,1910,4945
