NAME,SUB_NAME,MEASURE
A352,17075.1974,1.21701339
A354,17022.58117,1.286982684
A370,17126.79265,1.112453404
A374,17183.06697,1.104698268
A376,17171.85251,1.255508432
A380,17162.20501,1.189750908
A388,17301.25558,1.164695273
A389,17301.22282,1.09723775
A390,17259.38426,1.029945367
A461,19452.18246,1.751851768
A472,19389.74402,1.858765643
A494,19565.16241,1.149369245
A497,19578.46798,0.984655874
A541,17410.74671,1.3153484
A587,3291.162812,1.704910232
A588,3291.157352,1.922858826
A607,3872.91702,1.51878955
A608,3872.955239,1.348064401
A614,16747.82144,1.694795378
A638,18282.64641,1.19227706
A67,18334.95144,1.385118145
A816,17501.82189,1.5336679
A839,19414.97928,2.025486213
A891,16979.25753,1.559199005
A893,17070.62754,1.282270213
A895,17096.75821,1.449334586
A898,17092.82169,1.356273997
A900,17079.44514,1.612416304
A904,17227.0294,1.586304366
A907,17226.98572,1.672098674
A912,17244.01488,1.925478344
A922,17641.48396,1.237355199
A938,18390.84902,1.746309698
A991,19420.77215,2.097670467
A992,19421.5256,1.872145912
A995,19633.08797,1.946059404
A1093,3872.660409,1.329119906
A1107,4280.601406,1.057582057
A144,3500.825168,1.185093906
A162,3721.499971,1.263579504
A169,3762.454043,1.457239403
A186,4086.073658,1.144579817
A349,16983.58171,0.925331594
A350,16990.32458,1.154236897
A353,17022.57025,1.25412324
A355,17043.50318,1.225034302
A360,17004.88045,0.979900925
A362,17005.06062,0.970188942
A364,16972.72214,0.969254561
A371,17171.69963,1.214252728
A379,17162.18864,1.146020869
A381,17441.9168,1.33095518
A383,17478.24641,1.3605323
A384,17392.33622,1.456576346
A392,17259.41156,1.19482899
A393,17758.61883,1.382393405
A396,17463.82703,1.154637555
A411,18314.2642,1.471959686
A412,18334.96782,2.002146925
A44,3268.155151,0.871054632
A471,19385.91123,1.65789819
A474,19389.815,1.637759821
A475,19389.83138,1.66837067
A476,19389.85867,1.672947021
A477,19380.32584,1.11684327
A484,19509.06282,1.079657984
A485,19509.07919,1.041545667
A487,19561.33508,1.202520956
A488,19551.39276,1.313333332
A495,19565.17879,1.222021277
A532,3825.427549,1.239180623
A533,3833.404339,1.47370975
A534,3745.610514,1.600346903
A534,3808.829712,1.430929957
A542,17634.44079,1.231491849
A557,18390.8381,1.41266223
A559,18556.49435,1.479942328
A560,18556.60355,1.379831855
A561,18788.60747,1.327129655
A592,3486.798903,1.463352645
A593,3465.522004,1.299901178
A594,3461.328866,1.255311313
A610,3861.189337,1.515169102
A780,19508.26568,1.097221775
A791,19596.90578,0.970464884
A818,17500.8009,1.436976404
A827,18093.55664,1.356304199
A901,17092.10099,1.362991462
A905,17218.44111,1.371688069
A906,17248.52469,1.447409156
A908,17247.94595,1.833212431
A909,17277.44533,1.896638802
A910,17244.22782,1.847420784
A911,17236.25649,1.629919078
A915,17248.24078,1.998313232
A916,17248.28992,1.978475953
A917,17248.31722,1.975479188
A920,17643.47679,1.217053552
A921,17640.82878,1.233529298
A932,18440.72443,1.35269352
A934,18438.28936,1.687192959
A935,18478.32618,1.592356265
A936,18438.30028,1.599575488
A937,18438.36033,1.82477086
A940,18562.32543,1.599017858
A942,18723.94688,1.795486207
A945,18723.75032,1.504600069
A1075,3728.444855,1.364631882
A1077,3746.292991,1.360073077
A1112,4008.615262,1.170031772
A1113,4005.459489,0.777132862
A1116,4024.972868,0.952909255
A1328,17007.65403,1.390614435
A145,3513.672113,1.027692341
A1458,18382.63746,1.208929395
A148,3531.012485,1.157647706
A155,3574.25968,1.507943491
A156,4073.264932,1.381987374
A161,3687.763774,1.210898585
A170,3791.325545,1.249496026
A175,3845.950994,1.12545177
A176,3866.605474,1.232900242
A177,3865.666386,1.19854113
A183,3985.039781,1.137825159
A338,4960.659584,1.024722465
A339,17329.77766,0.987129298
A344,16857.48728,1.145284835
A361,16972.71122,1.046790669
A363,16972.43822,0.970365725
A372,17273.97289,1.184640484
A382,17441.89496,1.189845274
A391,17301.23374,1.137728191
A394,17440.39351,1.108775752
A397,17459.80861,1.342272171
A410,18314.27512,1.625110867
A470,19346.97183,1.711132684
A473,19389.78224,1.68605285
A486,19508.89902,1.135557054
A491,19551.45828,1.215342228
A493,19561.4279,1.198655124
A498,19569.86878,1.143130536
A500,19578.43522,1.108491815
A501,19601.21357,1.149649602
A517,19712.66478,1.137378329
A519,19726.04132,1.095824805
A550,17813.73566,1.098627111
A558,18640.59734,1.400994885
A562,18789.97242,1.456643718
A563,18438.26752,1.367957508
A563,18653.29687,1.372635807
A564,18647.8589,1.091888872
A566,18657.70294,1.280442667
A582,19397.08747,2.258242414
A582,19530.76558,2.045931405
A583,19530.82018,2.265651792
A591,3462.158758,1.265010995
A595,3461.301567,1.185360473
A617,16748.40018,1.777858404
A627,4923.341748,1.586319543
A627,16903.16409,1.520137942
A642,18265.21322,1.130883978
A642,19338.53095,1.232072617
A643,18412.93944,1.400628309
A644,18556.99119,1.196906839
A66,18399.31174,1.592287604
A767,19374.44562,1.591153113
A771,19374.54935,1.441865354
A786,19600.64029,1.180250403
A789,19596.944,1.04339362
A817,17474.39178,1.475923835
A819,17463.31381,1.292524095
A820,17501.21039,1.273177318
A821,17631.21404,1.125527261
A822,17631.25226,1.215057457
A823,17643.45495,1.252703548
A824,17631.17036,1.231575805
A825,18066.74895,1.208944774
A826,18066.809,1.300535025
A828,18051.47784,1.231001605
A848,4410.435807,1.492042091
A913,17247.98963,1.440580145
A914,17236.32746,1.33876311
A918,17501.16125,2.091323614
A919,17708.97273,1.511879007
A923,17708.98365,1.328546089
A927,18061.4966,1.280776224
A930,18061.87333,1.505880858
A933,18440.74081,1.124326251
A939,18558.67282,1.646412251
A987,19597.01498,1.823862539
A993,19445.16114,1.77422158
A994,19445.17206,1.76706294
A1076,3733.697197,1.23781906
A1079,3733.402367,1.418526787
A1088,3858.989032,1.495202228
A1092,3872.62765,1.438667934
A1115,4005.42127,0.799362977
A1326,17011.38854,1.303209031
A1338,17110.97011,1.29241046
